District,Parcel Area,Mukim,PropertyType,PropertyType (strata),SchemeName,Sector,State,Tenure,Date,Price,Unit,Level
Kuala Lumpur,97,Mukim Setapak,Condominium/Apartment,Strata,ALPHA VILLA,Residential,WP Kuala Lumpur,Leasehold,01/03/21,380000,sq.m,2
Kuala Lumpur,91,Mukim Setapak,Condominium/Apartment,Strata,SKYMERIDIEN RESIDENCE,Residential,WP Kuala Lumpur,Leasehold,01/03/21,633650,sq.m,23
Kuala Lumpur,79,Mukim Setapak,Condominium/Apartment,Strata,SENTUL POINT SUITE APARTMENTS,Residential,WP Kuala Lumpur,Freehold,01/03/21,432000,sq.m,24
Kuala Lumpur,69,Mukim Setapak,Condominium/Apartment,Strata,SENTUL PERDANA,Residential,WP Kuala Lumpur,Freehold,01/03/21,384300,sq.m,37
Kuala Lumpur,79,Mukim Setapak,Condominium/Apartment,Strata,SENTUL POINT SUITE APARTMENTS,Residential,WP Kuala Lumpur,Freehold,01/03/21,435200,sq.m,44
Kuala Lumpur,120,Mukim Setapak,Condominium/Apartment,Strata,RESIDENSI PV9,Residential,WP Kuala Lumpur,Leasehold,01/04/21,675000,sq.m,22
Kuala Lumpur,87,Mukim Batu,Condominium/Apartment,Strata,MIZUMI RESIDENCES,Residential,WP Kuala Lumpur,Leasehold,01/04/21,548700,sq.m,42
Kuala Lumpur,157,Mukim Petaling,Condominium/Apartment,Strata,RESIDENSI WALTZ,Residential,WP Kuala Lumpur,Freehold,01/04/21,1583000,sq.m,26
Kuala Lumpur,345,Mukim Batu,Condominium/Apartment,Strata,SENI MONT KIARA,Residential,WP Kuala Lumpur,Freehold,01/06/21,3400000,sq.m,19
Kuala Lumpur,79.34,Mukim Petaling,Condominium/Apartment,Strata,BANDAR TASIK SELATAN,Residential,WP Kuala Lumpur,Leasehold,01/07/21,270000,sq.m,1
Kuala Lumpur,77.85,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,MENARA ORKID,Residential,WP Kuala Lumpur,Leasehold,01/07/21,260000,sq.m,14
Kuala Lumpur,113.5,Mukim Petaling,Condominium/Apartment,Strata,BUKIT OUG,Residential,WP Kuala Lumpur,Freehold,01/07/21,300000,sq.m,13
Kuala Lumpur,99,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,KENANGA POINT,Residential,WP Kuala Lumpur,Freehold,01/07/21,440000,sq.m,29
Kuala Lumpur,87.14,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,PANGSAPURI SRI BANDAR,Residential,WP Kuala Lumpur,Freehold,01/07/21,260000,sq.m,1
Kuala Lumpur,178.85,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,THE CAPERS @ SENTUL EAST,Residential,WP Kuala Lumpur,Freehold,01/07/21,1400000,sq.m,1
Kuala Lumpur,111,Mukim Ulu Kelang,Condominium/Apartment,Strata,RESIDENSI SETIAWANGSA,Residential,WP Kuala Lumpur,Leasehold,01/08/21,700000,sq.m,13
Kuala Lumpur,99.79,Mukim Kuala Lumpur,Condominium/Apartment,Strata,MIDFIELDS SG.BESI KONDOMINIUM,Residential,WP Kuala Lumpur,Leasehold,01/09/21,455000,sq.m,10
Kuala Lumpur,88,Mukim Kuala Lumpur,Condominium/Apartment,Strata,BAYU TASIK CONDOMINIUM,Residential,WP Kuala Lumpur,Leasehold,01/09/21,380000,sq.m,15
Kuala Lumpur,84,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,KONDOMINIUM RAFFLESIA - PHASE 3,Residential,WP Kuala Lumpur,Leasehold,01/09/21,480000,sq.m,23
Kuala Lumpur,86,Mukim Kuala Lumpur,Condominium/Apartment,Strata,LIDO RESIDENCY,Residential,WP Kuala Lumpur,Leasehold,01/09/21,550000,sq.m,28
Kuala Lumpur,79,Mukim Petaling,Condominium/Apartment,Strata,IMPIANA SKY RESIDENSI @THE EARTH B.JALIL,Residential,WP Kuala Lumpur,Leasehold,01/09/21,300000,sq.m,30
Kuala Lumpur,104,Mukim Petaling,Condominium/Apartment,Strata,PANGSAPURI BUKIT AWAN SARI,Residential,WP Kuala Lumpur,Freehold,01/09/21,325000,sq.m,8
Kuala Lumpur,97.02,Mukim Kuala Lumpur,Condominium/Apartment,Strata,MIDFIELDS 2,Residential,WP Kuala Lumpur,Leasehold,01/10/21,580000,sq.m,6
Kuala Lumpur,106,Mukim Setapak,Condominium/Apartment,Strata,MENARA ALPHA,Residential,WP Kuala Lumpur,Leasehold,01/10/21,390000,sq.m,7
Kuala Lumpur,292,Mukim Setapak,Condominium/Apartment,Strata,THE VEO,Residential,WP Kuala Lumpur,Freehold,01/10/21,2252888,sq.m,23
Kuala Lumpur,115,Mukim Batu,Condominium/Apartment,Strata,RESIDENSI SOUTH BROOKS,Residential,WP Kuala Lumpur,Freehold,01/10/21,1000000,sq.m,24
Kuala Lumpur,79,Mukim Setapak,Condominium/Apartment,Strata,M CENTURA,Residential,WP Kuala Lumpur,Freehold,01/10/21,584500,sq.m,44
Kuala Lumpur,133,Mukim Petaling,Condominium/Apartment,Strata,THE TREEZ JALIL RESIDENCE,Residential,WP Kuala Lumpur,Freehold,01/10/21,900000,sq.m,8
Kuala Lumpur,145.75,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,THE MAPLE,Residential,WP Kuala Lumpur,Freehold,01/11/21,1000000,sq.m,10
Kuala Lumpur,102,Mukim Batu,Condominium/Apartment,Strata,SRI PUTRAMAS,Residential,WP Kuala Lumpur,Freehold,01/11/21,430000,sq.m,10
Kuala Lumpur,75,Mukim Kuala Lumpur,Condominium/Apartment,Strata,FAJAR RIA APARTMENT,Residential,WP Kuala Lumpur,Freehold,01/11/21,350000,sq.m,10
Kuala Lumpur,145,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,TINGGIAN TITIWANGSA @ THE REACH,Residential,WP Kuala Lumpur,Freehold,01/11/21,920000,sq.m,15
Kuala Lumpur,150,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,TINGGIAN TITIWANGSA @ THE REACH,Residential,WP Kuala Lumpur,Freehold,01/11/21,1100000,sq.m,17
Kuala Lumpur,112,Mukim Batu,Condominium/Apartment,Strata,PAVILION HILTOP MONT KIARA,Residential,WP Kuala Lumpur,Freehold,01/11/21,1320000,sq.m,17
Kuala Lumpur,105,Mukim Batu,Condominium/Apartment,Strata,SRI PUTRAMAS II,Residential,WP Kuala Lumpur,Freehold,01/11/21,550000,sq.m,24
Kuala Lumpur,129,Mukim Batu,Condominium/Apartment,Strata,VILLA CRYSTAL,Residential,WP Kuala Lumpur,Freehold,01/11/21,670000,sq.m,31
Kuala Lumpur,157,Mukim Petaling,Condominium/Apartment,Strata,RESIDENSI WALTZ,Residential,WP Kuala Lumpur,Freehold,01/11/21,1634000,sq.m,36
Kuala Lumpur,239,Mukim Kuala Lumpur,Condominium/Apartment,Strata,KONDOMINIUM PANTAI ESTET,Residential,WP Kuala Lumpur,Freehold,01/11/21,1830000,sq.m,7
Kuala Lumpur,140,Mukim Petaling,Condominium/Apartment,Strata,KM 1 BUKIT JALIL,Residential,WP Kuala Lumpur,Freehold,01/11/21,950000,sq.m,7
Kuala Lumpur,115,Mukim Kuala Lumpur,Condominium/Apartment,Strata,PRISMA CHERAS,Residential,WP Kuala Lumpur,Freehold,01/11/21,430000,sq.m,9
Kuala Lumpur,127,Mukim Kuala Lumpur,Condominium/Apartment,Strata,RESIDENSI PANTAI SENTRAL 2,Residential,WP Kuala Lumpur,Leasehold,01/12/21,1175220,sq.m,12
Kuala Lumpur,120,Mukim Setapak,Condominium/Apartment,Strata,DESA PUTRA,Residential,WP Kuala Lumpur,Leasehold,01/12/21,580000,sq.m,13
Kuala Lumpur,92,Mukim Petaling,Condominium/Apartment,Strata,PR1MA ALAM DAMAI,Residential,WP Kuala Lumpur,Leasehold,01/12/21,333000,sq.m,15
Kuala Lumpur,123,Mukim Setapak,Condominium/Apartment,Strata,PLATINUM LAKE PV13,Residential,WP Kuala Lumpur,Leasehold,01/12/21,470000,sq.m,17
Kuala Lumpur,99,Mukim Ampang,Condominium/Apartment,Strata,BAM VILLAS,Residential,WP Kuala Lumpur,Leasehold,01/12/21,330000,sq.m,18
Kuala Lumpur,127,Mukim Kuala Lumpur,Condominium/Apartment,Strata,RESIDENSI PANTAI SENTRAL 2,Residential,WP Kuala Lumpur,Leasehold,01/12/21,1206720,sq.m,25
Kuala Lumpur,79,Kuala Lumpur Town Centre,Condominium/Apartment,Strata,MENARA ORKID,Residential,WP Kuala Lumpur,Leasehold,01/12/21,330000,sq.m,6
Kuala Lumpur,101,Mukim Petaling,Condominium/Apartment,Strata,SRI DESA,Residential,WP Kuala Lumpur,Freehold,01/12/21,440000,sq.m,1
Kuala Lumpur,101,Mukim Petaling,Condominium/Apartment,Strata,GREEN AVENUE KONDOMINIUM,Residential,WP Kuala Lumpur,Freehold,01/12/21,430000,sq.m,2
