PropertyType,District,Mukim,SchemeName,TransactionDate,Tenure,ParcelArea,Unit,UnitLevel,TransactionPrice,PropertyType(strata),Sector,State
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,KAW JLN AMPANG/OFF JLN AMPANG/U-THANT,24-Aug,Freehold,1921.52,sq.m,5-Jan,30000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-Jul,Freehold,443,sq.m,17,13953000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,21-Dec,Freehold,627,sq.m,19,12625000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Batu,SENI MONT KIARA,24-Mar,Freehold,827,sq.m,40,12300000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,MADGE MANSIONS,24-Apr,Freehold,725,sq.m,9,11000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,24-Sep,Freehold,463,sq.m,17,9650000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE AVARE,24-Aug,Freehold,715,sq.m,38,9520000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,MADGE RESIDENCES,24-Sep,Freehold,779,sq.m,9,9500000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Oct,Freehold,419,sq.m,12,9472000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Jun,Freehold,419,sq.m,17,9446000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-Jul,Freehold,419,sq.m,15,9395000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,24-Mar,Freehold,401,sq.m,2,9380000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Jun,Freehold,419,sq.m,13,9342000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Jun,Freehold,419,sq.m,13,9291000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-May,Freehold,419,sq.m,12,9239000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,24-Jul,Freehold,337,sq.m,27,9200000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-May,Freehold,419,sq.m,12,9187000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-Feb,Freehold,419,sq.m,3A,9118000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-Dec,Freehold,419,sq.m,4,9118000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Sep,Freehold,419,sq.m,10,9084000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-Apr,Freehold,419,sq.m,9,9083000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,22-Jan,Freehold,473,sq.m,21,9000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-May,Freehold,419,sq.m,6,8928000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,22-Jul,Freehold,445,sq.m,5,8600000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,23-Dec,Freehold,463,sq.m,18,8565000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,PALAZZIO SUNWAY,22-May,Freehold,913,sq.m,19,8500000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,24-Oct,Freehold,338,sq.m,32,8500000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,ONE MENERUNG,24-Apr,Freehold,473,sq.m,9,8500000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,21-Jun,Freehold,419,sq.m,10,8492000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,22-Oct,Freehold,337,sq.m,23,8390000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-Mar,Freehold,339,sq.m,13,8377000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,22-Aug,Freehold,337,sq.m,37,8300000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,23-Oct,Freehold,463,sq.m,15,8275000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-Feb,Freehold,339,sq.m,14,8196000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-Mar,Freehold,339,sq.m,14,8196000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,23-May,Freehold,339,sq.m,11,8164000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Dec,Freehold,339,sq.m,12,8109000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Jul,Freehold,339,sq.m,17,8035000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,22-Oct,Freehold,338,sq.m,33,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,SERAI BUKIT BANDARAYA,24-Jul,Freehold,433,sq.m,11,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,ONE MENERUNG,24-Jun,Freehold,475,sq.m,18,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE PEARL,25-Apr,Freehold,653,sq.m,24,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,24-Sep,Freehold,338,sq.m,26,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,24-May,Freehold,337,sq.m,31,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE BINJAI ON THE PARK,23-Jul,Freehold,337,sq.m,33,8000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,AIRA RESIDENCE,22-Apr,Freehold,339,sq.m,15,7993000,Strata,Residential,WP Kuala Lumpur
