Year of Year,State,Type,Index Point,Price,Y-o-Y %
2010,Kuala Lumpur,High-rise,100,243284.085787671,10.375275938
2011,Kuala Lumpur,High-rise,113.171282974,276907.029001249,13.171282974
2012,Kuala Lumpur,High-rise,131.675,322187.18,16.350187557
2013,Kuala Lumpur,High-rise,149.425,365642.8475,13.480159484
2014,Kuala Lumpur,High-rise,161.9,396149.5925,8.348669901
2015,Kuala Lumpur,High-rise,174.625,427295.195,7.859789994
2016,Kuala Lumpur,High-rise,189.975,464907.0675,8.790264853
2017,Kuala Lumpur,High-rise,201.875,493950.74,6.263982103
2018,Kuala Lumpur,High-rise,200.975,491799.0225,-0.445820433
2019,Kuala Lumpur,High-rise,198.1,484802.06,-1.430526185
2020,Kuala Lumpur,High-rise,201.225,492431.795,1.577486118
2021,Kuala Lumpur,High-rise,205.55,502969.295,2.149335321
2022,Kuala Lumpur,High-rise,216.975,530954.265,5.563951970
2023,Kuala Lumpur,High-rise,226.575,554465.44,4.428097964
2024,Kuala Lumpur,High-rise,234,572633.985,3.277060576
