State,Type,Quarter of Year,Index Point,Price,Q-o-Q %,Y-o-Y %
Kuala Lumpur,High-rise,2010 Q1,92.1,225349.87,-2.436440678,4.897494305
Kuala Lumpur,High-rise,2010 Q2,99.6,243799.12,8.143322476,11.40939597
Kuala Lumpur,High-rise,2010 Q3,102.2,250157.88,2.610441767,12.55506608
Kuala Lumpur,High-rise,2010 Q4,103.7,253829.4732,1.467710372,9.851694915
Kuala Lumpur,High-rise,2011 Q1,104.8,256397.443,1.06075217,13.78935939
Kuala Lumpur,High-rise,2011 Q2,110.9,271321.34,5.820610687,11.34538153
Kuala Lumpur,High-rise,2011 Q3,115.5851319,282840.093,4.224645532,13.09699794
Kuala Lumpur,High-rise,2011 Q4,121.4,297069.24,5.030809768,17.06846673
Kuala Lumpur,High-rise,2012 Q1,128.7,314978.28,6.013179572,22.80534351
Kuala Lumpur,High-rise,2012 Q2,128.1,313477,-0.466200466,15.50946799
Kuala Lumpur,High-rise,2012 Q3,130.4,319004.23,1.795472287,12.81727837
Kuala Lumpur,High-rise,2012 Q4,139.5,341289.21,6.978527607,14.90939045
Kuala Lumpur,High-rise,2013 Q1,143.9,352061.38,3.154121864,11.81041181
Kuala Lumpur,High-rise,2013 Q2,148.1,362506.47,2.918693537,15.6128025
Kuala Lumpur,High-rise,2013 Q3,152.9,374056.23,3.241053342,17.25460123
Kuala Lumpur,High-rise,2013 Q4,152.8,373947.31,-0.065402224,9.534050179
Kuala Lumpur,High-rise,2014 Q1,155.1,379445.24,1.505235602,7.783182766
Kuala Lumpur,High-rise,2014 Q2,159.5,390376.63,2.836879433,7.697501688
Kuala Lumpur,High-rise,2014 Q3,165.9,405910.45,4.012539185,8.502289078
Kuala Lumpur,High-rise,2014 Q4,167.1,408866.05,0.723327306,9.358638743
Kuala Lumpur,High-rise,2015 Q1,169.7,415279.1,1.555954518,9.413281754
Kuala Lumpur,High-rise,2015 Q2,172.3,421538.81,1.532115498,8.02507837
Kuala Lumpur,High-rise,2015 Q3,177.2,433608.9,2.843876959,6.811332128
Kuala Lumpur,High-rise,2015 Q4,179.3,438753.97,1.18510158,7.301017355
Kuala Lumpur,High-rise,2016 Q1,182.8,447375.41,1.952035694,7.719505009
Kuala Lumpur,High-rise,2016 Q2,188.5,461294.53,3.118161926,9.402205456
Kuala Lumpur,High-rise,2016 Q3,192.9,472053.27,2.334217507,8.860045147
Kuala Lumpur,High-rise,2016 Q4,195.7,478905.06,1.45152929,9.146681539
Kuala Lumpur,High-rise,2017 Q1,199.4,487880,1.890648952,9.080962801
Kuala Lumpur,High-rise,2017 Q2,198.6,485955.86,-0.401203611,5.358090186
Kuala Lumpur,High-rise,2017 Q3,206.3,504809.77,3.87713998,6.946604458
Kuala Lumpur,High-rise,2017 Q4,203.2,497157.33,-1.50266602,3.832396525
Kuala Lumpur,High-rise,2018 Q1,198.6,485963.1,-2.263779528,-0.401203611
Kuala Lumpur,High-rise,2018 Q2,202.9,496446.81,2.165156093,2.165156093
Kuala Lumpur,High-rise,2018 Q3,200.1,489657.12,-1.379990143,-3.005332041
Kuala Lumpur,High-rise,2018 Q4,202.3,495129.06,1.099450275,-0.442913386
Kuala Lumpur,High-rise,2019 Q1,202.5,495615.99,0.098863075,1.963746224
Kuala Lumpur,High-rise,2019 Q2,196.7,481339.04,-2.864197531,-3.055692459
Kuala Lumpur,High-rise,2019 Q3,196.8,481584.19,0.050838841,-1.649175412
Kuala Lumpur,High-rise,2019 Q4,196.4,480669.02,-0.203252033,-2.916460702
Kuala Lumpur,High-rise,2020 Q1,198.8,486562.72,1.221995927,-1.827160494
Kuala Lumpur,High-rise,2020 Q2,200.1,489643.52,0.653923541,1.72852059
Kuala Lumpur,High-rise,2020 Q3,202.5,495498.34,1.1994003,2.896341463
Kuala Lumpur,High-rise,2020 Q4,203.5,498022.6,0.49382716,3.615071283
Kuala Lumpur,High-rise,2021 Q1,201.5,493068.91,-0.982800983,1.358148893
Kuala Lumpur,High-rise,2021 Q2,204.4,500091.49,1.439205955,2.148925537
Kuala Lumpur,High-rise,2021 Q3,205.2,502180.63,0.391389432,1.333333333
Kuala Lumpur,High-rise,2021 Q4,211.1,516536.15,2.875243665,3.734643735
Kuala Lumpur,High-rise,2022 Q1,215.6,527510.19,2.131691142,6.99751861
Kuala Lumpur,High-rise,2022 Q2,212.7,520478.33,-1.345083488,4.060665362
Kuala Lumpur,High-rise,2022 Q3,218.8,535456.17,2.867889046,6.627680312
Kuala Lumpur,High-rise,2022 Q4,220.8,540372.37,0.914076782,4.594978683
Kuala Lumpur,High-rise,2023 Q1,224.7,549909.84,1.764981063,4.246297119
Kuala Lumpur,High-rise,2023 Q2,226.5,554231.37,0.785861551,6.4850039
Kuala Lumpur,High-rise,2023 Q3,227,555484.76,0.226149234,3.740472353
Kuala Lumpur,High-rise,2023 Q4,228.1,558235.79,0.484581498,3.30615942
Kuala Lumpur,High-rise,2024 Q1,227.4,556579.97,-0.306882946,1.201602136
Kuala Lumpur,High-rise,2024 Q2,232.4,568606.79,2.160843122,2.604856512
Kuala Lumpur,High-rise,2024 Q3,237,579991.05,2.002132264,4.411694391
Kuala Lumpur,High-rise,2024 Q4,239.2,585358.13,0.928270042,4.866286716
Kuala Lumpur,High-rise,2025 Q1,236.4,578504.35,-1.170568562,3.957783641
Kuala Lumpur,High-rise,2025 Q2,214.2,524196.41,-9.390862944,-7.831325301
